participant_num,delay_condition,causal_direction,i_strength_final
43,0 hour,negative,0.7
45,9 hours,negative,0.6
46,3 hours,negative,0.8
48,0 hour,negative,0.7
49,0 hour,positive,0.5
50,9 hours,negative,0.6
51,0 hour,negative,0.4
52,9 hours,positive,0.4
53,21 hours,positive,-0.3
54,0 hour,positive,0.4
55,21 hours,negative,0.9
56,0 hour,negative,1
57,9 hours,negative,0.7
59,3 hours,positive,0.4
60,3 hours,negative,0.7
61,9 hours,positive,0.7
62,21 hours,positive,0
63,3 hours,positive,1
65,0 hour,positive,-0.3
66,9 hours,negative,0.7
67,9 hours,positive,0.4
69,21 hours,negative,1
70,21 hours,negative,0.7
71,0 hour,negative,0.5
72,3 hours,positive,0.7
73,21 hours,positive,0
74,21 hours,positive,0.9
75,3 hours,negative,0.9
76,9 hours,positive,0.8
77,9 hours,positive,0.4
78,0 hour,negative,-0.3
79,3 hours,positive,-1
80,3 hours,negative,0.8
81,0 hour,positive,-0.8
82,3 hours,positive,0
84,9 hours,negative,0.9
85,3 hours,negative,-0.3
86,3 hours,positive,0.7
87,9 hours,negative,0.9
88,21 hours,positive,0.9
90,0 hour,negative,0.8
91,21 hours,negative,-0.3
92,9 hours,negative,0.6
93,21 hours,negative,0.5
94,9 hours,positive,0.8
95,21 hours,negative,0.4
96,21 hours,positive,-0.2
97,9 hours,positive,0.6
98,0 hour,positive,0.3
99,0 hour,positive,0.8
100,3 hours,positive,0.7
102,21 hours,positive,-0.3
103,3 hours,negative,-0.2
104,9 hours,positive,-0.2
105,0 hour,negative,-0
106,0 hour,negative,0.8
107,21 hours,positive,0.8
108,3 hours,negative,0.7
109,0 hour,positive,-0.4
110,3 hours,positive,0.3
112,21 hours,positive,0
113,9 hours,negative,0.5
114,21 hours,positive,-0.6
115,9 hours,positive,0.2
116,9 hours,negative,0.3
117,0 hour,negative,0.3
118,21 hours,negative,0.7
119,0 hour,negative,0.9
120,3 hours,negative,0.6
122,9 hours,negative,0.6
123,0 hour,positive,0
124,0 hour,positive,-0.7
125,0 hour,positive,0.3
129,9 hours,positive,-0.2
130,21 hours,positive,0.4
131,3 hours,positive,0
132,3 hours,positive,-0.5
133,3 hours,negative,0.3
134,3 hours,negative,1
135,3 hours,negative,0.2
136,9 hours,negative,-0.2
137,21 hours,negative,0.9
138,0 hour,negative,0.7
139,21 hours,positive,0.7
140,9 hours,negative,0.9
141,3 hours,positive,-0.1
142,21 hours,negative,-0
143,21 hours,negative,0.8
144,0 hour,positive,0
145,21 hours,negative,-0
146,9 hours,positive,-0.6
147,3 hours,positive,0.9
148,21 hours,negative,0.4
149,0 hour,negative,-0.3
150,3 hours,negative,0.7
151,3 hours,negative,0.5
152,21 hours,positive,0
153,3 hours,negative,-0.4
154,9 hours,negative,0.6
155,21 hours,negative,0.3
156,21 hours,negative,0.3
157,9 hours,positive,0
158,9 hours,positive,1
159,0 hour,positive,0.8
160,3 hours,positive,0.2
161,0 hour,negative,0.7
162,0 hour,negative,0.8
163,3 hours,positive,1
164,21 hours,positive,0.5
165,21 hours,positive,0.3
166,0 hour,positive,0.6
167,3 hours,positive,-0.5
168,9 hours,negative,0.7
169,3 hours,positive,0.5
170,21 hours,negative,0.6
171,3 hours,negative,0.4
172,3 hours,positive,0
173,21 hours,negative,0.6
174,0 hour,negative,0.5
176,9 hours,negative,-0
177,0 hour,positive,0.8
178,9 hours,positive,0.6
179,21 hours,positive,1
180,0 hour,positive,0.7
181,21 hours,negative,0.2
182,21 hours,positive,0.5
183,0 hour,positive,0.5
184,9 hours,positive,0.5
185,9 hours,negative,0.8
186,9 hours,negative,0.9
188,3 hours,positive,0.3
189,3 hours,negative,0.7
190,0 hour,negative,0.8
191,9 hours,positive,-0.2
192,9 hours,negative,0.9
193,21 hours,positive,0
195,3 hours,positive,0.6
196,9 hours,positive,0
197,9 hours,positive,0.2
198,9 hours,positive,-0.6
199,21 hours,negative,0.2
200,9 hours,negative,0.8
201,0 hour,positive,-0.4
202,3 hours,negative,0.7
203,3 hours,negative,0.8
204,0 hour,positive,0
205,0 hour,positive,0
208,3 hours,negative,0.4
209,9 hours,positive,0.1
210,0 hour,negative,0.2
211,21 hours,negative,0.8
212,3 hours,negative,0.8
213,0 hour,negative,-0.1
214,3 hours,negative,-0
215,9 hours,negative,-0
216,0 hour,positive,0.6
217,3 hours,positive,0
218,21 hours,positive,0.7
219,21 hours,negative,0.9
220,0 hour,negative,0.8
221,21 hours,positive,0.5
222,9 hours,positive,-0.7
224,3 hours,positive,0.6
225,3 hours,positive,0.8
226,3 hours,negative,0.4
227,0 hour,positive,0.5
228,0 hour,positive,0.5
229,21 hours,negative,0.7
230,0 hour,negative,0.7
231,3 hours,negative,0.8
232,21 hours,positive,-0.8
233,9 hours,positive,-0.3
234,0 hour,negative,0.5
235,21 hours,negative,0.2
236,21 hours,positive,0.5
237,3 hours,positive,-0.7
238,9 hours,negative,0.3
239,21 hours,positive,-0.3
240,0 hour,positive,1
241,3 hours,negative,0.8
242,9 hours,positive,0.4
243,21 hours,negative,0.5
244,0 hour,negative,0.4
245,9 hours,positive,0.6
246,0 hour,positive,0.9
247,9 hours,negative,-0
248,0 hour,negative,0.4
249,21 hours,positive,-0.3
250,21 hours,positive,1
252,9 hours,negative,-0.3
253,9 hours,positive,-0.2
254,21 hours,positive,0.7
255,21 hours,negative,-0.6
256,21 hours,negative,0.8
257,0 hour,positive,1
258,0 hour,negative,-0
259,3 hours,positive,0.7
260,3 hours,negative,1
262,9 hours,negative,0.5
263,3 hours,negative,1
